B,C,trial,stability_min_eig
7,4,4,-0.8186015874241542
7,5,0,-0.8375188967367813
7,5,1,-0.7686888272496519
7,5,2,-0.6551176173324086
7,5,3,-0.6829606724928935
7,5,4,-0.7809244777855434
7,6,0,-0.7554691017724304
7,6,1,-0.9804825443983788
7,6,2,-0.7361042305410314
7,6,3,-0.8409983614963346
7,6,4,-0.7844026661333778
7,7,0,-0.8384384655154772
7,7,1,-0.7372207172644399
7,7,2,-0.9795916360915103
7,7,3,-0.5648056125191309
7,7,4,-0.6151607015838255
7,8,0,-0.6329767495585767
7,8,1,-0.6880145673289938
7,8,2,-0.6016389762950919
7,8,3,-0.5900383146644571
7,8,4,-0.7651048833792613
7,9,0,-0.697743344393257
7,9,1,-0.5622744613295824
7,9,2,-0.5085185216271682
7,9,3,-0.3817428566255696
7,9,4,-0.7369908574171896
7,10,0,-0.39389929394216683
7,10,1,-0.56558541615357
7,10,2,-0.5008226978272214
7,10,3,-0.5022670390513967
7,10,4,-0.5166013402935768
7,11,0,-0.36524687117475024
7,11,1,-0.5858215362214569
7,11,2,-0.6934333542985178
7,11,3,-0.26984026509323805
7,11,4,-0.6038580256076904
7,12,0,-0.7019067323036554
7,12,1,-0.5853457457366197
7,12,2,-0.4111895643518601
7,12,3,-0.432313435965038
7,12,4,-0.4345926817621864
7,13,0,-0.49891501770378527
7,13,1,-0.6450782929758914
7,13,2,-0.4741416546664429
7,13,3,-0.4817528471413286
7,13,4,-0.5137821968197541
7,14,0,-0.29889229113253135
7,14,1,-0.5021493983711386
7,14,2,-0.75655405998947
7,14,3,-0.48532416955005114
7,14,4,-0.7093590401084289
7,15,0,-0.2615754824165976
7,15,1,-0.43370183573418564
7,15,2,-0.6830024592416135
7,15,3,-0.5686985900566172
7,15,4,-0.4394337385090261
7,16,0,-1.4903176714566024e-15
7,16,1,-0.3470401945450633
7,16,2,-0.40679924917348304
7,16,3,-0.0489715573603011
7,16,4,-0.2021265402580652
7,17,0,-1.6152001591417719e-15
7,17,1,-1.6910097553615431e-15
7,17,2,-1.977073272932044e-15
7,17,3,-0.2724676837574219
7,17,4,-0.11483638666217617
7,18,0,-3.4032930475192695e-15
7,18,1,-3.7172947340808706e-15
7,18,2,-0.08497329620490564
7,18,3,-0.032041296818594536
7,18,4,-0.19975513725219105
7,19,0,-0.18263953896460217
7,19,1,-1.8539257876445143e-15
7,19,2,-0.20298764425964902
7,19,3,-0.026527158901288293
7,19,4,-2.8588524704257197e-15
7,20,0,-2.083644141824184e-15
7,20,1,-3.4728649240847802e-15
7,20,2,-0.0829895529402854
7,20,3,-2.521400368612737e-15
7,20,4,-2.0784987049304177e-15
7,21,0,-3.3906561548737373e-15
7,21,1,-0.06355071375752526
7,21,2,-0.0025189350764365554
7,21,3,-1.5214897785854316e-15
7,21,4,-2.2917986528617055e-15
8,4,0,-0.7967879370541622
8,4,1,-0.8889548400302776
8,4,2,-0.7886065373135074
8,4,3,-0.8941076045871437
8,4,4,-0.7478450046907185
8,5,0,-0.8643467663330865
8,5,1,-1.0040713899917104
8,5,2,-0.756448522480062
8,5,3,-0.9295176417693549
8,5,4,-1.0421984663104562
8,6,0,-0.7338858550207306
8,6,1,-0.8072893352164412
8,6,2,-0.7780372581784705
8,6,3,-0.9842140238396616
8,6,4,-1.0764910341054066
8,7,0,-0.790340116787714
8,7,1,-0.7088308991476463
8,7,2,-0.8970232221463029
8,7,3,-0.8500606124271198
8,7,4,-0.7841872379095708
8,8,0,-0.8616965947364835
8,8,1,-0.7324678267869927
8,8,2,-0.6120127315126939
8,8,3,-0.49630003938291384
8,8,4,-0.751963520740547
8,9,0,-0.7728882051797703
8,9,1,-0.6686369583624231
8,9,2,-0.5183890891939853
8,9,3,-0.9478542593906095
8,9,4,-0.5187295138019576
8,10,0,-0.8387098031422711
8,10,1,-0.692061520261247
8,10,2,-0.6974697510414987
8,10,3,-0.6589370339451199
8,10,4,-0.7272893369162288
8,11,0,-0.6539054997938363
8,11,1,-0.7596069194598223
8,11,2,-0.5616272327119666
8,11,3,-0.7106503435268325
8,11,4,-0.704945789085501
8,12,0,-0.3495658310314545
8,12,1,-0.4801719566517725
8,12,2,-0.23074923573091646
8,12,3,-0.5143200372930761
8,12,4,-0.5804715170701582
8,13,0,-0.45232733968521993
8,13,1,-0.7009335021244637
8,13,2,-0.6925315564201472
8,13,3,-0.8776154732629139
8,13,4,-0.49415374864240463
8,14,0,-0.2857839407492895
8,14,1,-0.542522294453981
8,14,2,-0.49643321417997405
8,14,3,-0.481716473748988
8,14,4,-0.5734959001773525
8,15,0,-0.42438013303921807
8,15,1,-0.35524022485836304
8,15,2,-0.44265344386776045
8,15,3,-0.27754925601691854
8,15,4,-0.3372237700717015
8,16,0,-0.43505589402005157
8,16,1,-0.8656961119775989
8,16,2,-0.22131895989791636
8,16,3,-0.015120450296025097
8,16,4,-0.45851269670848127
8,17,0,-2.2508117707966332e-15
8,17,1,-0.1784036759294009
8,17,2,-0.36663345241494083
8,17,3,-1.4566660894138144e-15
8,17,4,-0.3849692108535349
